상품명,적용시작일,판매가,매입단가,개당순마진
u자 핀,2026-07-02,8450.0,1452.0000000000002,5342.0
u자 핀,2026-07-22,6450.0,1452.0000000000002,3734.0
u자 핀,2026-07-30,5950.0,1452.0000000000002,3332.0
u형머리띠,2026-07-01,7450.0,1435.4999999999998,4488.0
u형머리띠,2026-07-13,6450.0,1435.4999999999998,3693.0
가죽벨트,2026-07-01,8450.0,2296.8,1921.0
가죽벨트,2026-07-08,6950.0,2296.8,728.0
각도기세트,2026-07-01,5950.0,1551.0,536.0
간식 봉투m,2026-07-01,9950.0,2904.0000000000005,4976.0
간식 봉투m,2026-07-13,8950.0,2904.0000000000005,4184.0
간식 봉투m,2026-07-30,8450.0,2904.0000000000005,1271.0
간식 봉투s,2026-07-01,8950.0,2244.0000000000005,4844.0
간식 봉투s,2026-07-13,7950.0,2244.0000000000005,4052.0
간식 봉투s,2026-07-30,7450.0,2244.0000000000005,923.0
군대 후레쉬 볼펜,2026-07-02,9900.0,2098.8,5742.0
군대 후레쉬 볼펜,2026-07-30,8950.0,2098.8,4989.0
굳은살 밴드,2026-07-01,8900.0,1221.0,6095.0
굳은살 밴드,2026-07-08,7900.0,1221.0,5273.0
굳은살 밴드,2026-07-10,6950.0,1221.0,4492.0
굳은살 밴드,2026-07-22,6950.0,1221.0,2387.0
굳은살 밴드,2026-07-30,5950.0,1221.0,1565.0
꽃 미니 집게핀,2026-07-01,7950.0,2012.9999999999998,4307.0
꽃 미니 집게핀,2026-07-22,5950.0,2012.9999999999998,467.0
남자 팔찌,2026-07-01,8900.0,1851.3000000000002,2674.0
네일자석,2026-07-01,5400.0,1151.7,1085.0
딜라이프 2+1 대나무효자,2026-07-01,8950.0,1517.9999999999998,5570.0
딜라이프 2+1 대나무효자,2026-07-08,7950.0,1517.9999999999998,4778.0
딜라이프 2+1 대나무효자,2026-07-10,6950.0,1517.9999999999998,1836.0
딜라이프 2+1 대나무효자,2026-07-30,5950.0,1517.9999999999998,1044.0
딜라이프 선글라스,2026-07-01,9900.0,2343.0,5527.0
딜라이프 선글라스,2026-07-30,8450.0,2343.0,4375.0
라텍스,2026-07-01,4950.0,858.0,912.0
리본 미니 집게핀,2026-07-01,5950.0,593.9999999999999,4136.0
리본 미니 집게핀,2026-07-22,3950.0,593.9999999999999,296.0
마카롱 머리끈,2026-07-01,4950.0,1056.0,629.0
문신스티커,2026-07-01,4950.0,963.6,911.0
물병세척솔,2026-07-01,7950.0,874.5,3272.0
물병세척솔,2026-07-10,6950.0,874.5,2480.0
물병세척솔,2026-07-22,5850.0,874.5,1609.0
물병세척솔,2026-07-26,6950.0,874.5,2480.0
물집방지,2026-07-01,9900.0,858.0,5025.0
미니 수첩,2026-07-01,9450.0,1346.4,6138.0
미니 수첩,2026-07-08,8450.0,1346.4,5346.0
미니 수첩,2026-07-10,6950.0,1346.4,1533.0
미니 수첩,2026-07-30,6450.0,1346.4,1137.0
반사 야광 테이프,2026-07-01,5900.0,165.0,4508.0
반사 야광 테이프,2026-07-22,4950.0,165.0,1255.0
반짇고리함,2026-07-01,8950.0,3695.9999999999995,1142.0
반투명 포스트잇,2026-07-01,5950.0,150.0,1937.0
벨크로타이,2026-07-01,7950.0,1287.0,2659.0
별오점 꽃 스티커,2026-07-01,3950.0,1560.9,1567.0
별오점 꽃 스티커,2026-07-22,3950.0,1560.9,-1008.0
보습비닐,2026-07-01,6450.0,1815.0,1607.0
보습비닐,2026-07-22,4950.0,1815.0,55.0
보습양말,2026-07-01,5450.0,1650.0,627.0
보습양말,2026-07-22,4950.0,1650.0,225.0
빗살머리띠,2026-07-01,7950.0,1980.0,4340.0
빗살머리띠,2026-07-10,7450.0,1980.0,3943.0
빗살머리띠,2026-07-13,6900.0,1980.0,3943.0
빗살머리띠,2026-07-22,6900.0,1980.0,3505.0
빗살머리띠,2026-07-26,5900.0,1980.0,2710.0
뿌리볼륨빗,2026-07-01,5950.0,1089.0,1590.0
